index,title,stock,vin,msrp,discounts,rebates,retail_price,exterior,interior,status,mpg
0,"2025 Ford F-150 XL Truck Regular Cab V-6 cyl","SKD86745","1FTMF1KP5SKD86745","39,445","-1,572","-1,250","36,623","Oxford White","Black W/Medium Dark Slate","IN STOCK","19/25"
1,"2025 Ford F-150 XL Truck Regular Cab V-6 cyl","SKD95049","1FTMF1KP8SKD95049","39,445","-1,572","-1,250","36,623","Oxford White","Black W/Medium Dark Slate","IN STOCK","19/25"
2,"2025 Ford F-150 XL Truck Regular Cab V6 EcoBoost Engine with Auto Start-Stop Technology","SKE15399","1FTMF1KP5SKE15399","39,445","-1,559","-1,250","36,636","Oxford White","Dark Slate","IN STOCK","19/25"
3,"2025 Ford F-150 XL Truck Regular Cab V6 EcoBoost Engine with Auto Start-Stop Technology","SKE10891","1FTMF1KP6SKE10891","39,445","-1,559","-1,250","36,636","Oxford White","Dark Slate","N/A","19/25"
4,"2025 Ford F-150 XL Truck Regular Cab","SKE64040","1FTMF1KP7SKE64040","39,645","-1,559","-1,250","36,836","Oxford White","Black","IN STOCK","19/25"
5,"2025 Ford F-150 XL Truck Regular Cab V-6 cyl","SKD70128","1FTMF1KP0SKD70128","40,540","-1,650","-1,250","37,640","Oxford White","Black W/Medium Dark Slate","IN STOCK","19/25"
6,"2025 Ford F-150 XL Truck Regular Cab V-6 cyl","SKD94788","1FTMF1KP8SKD94788","40,640","-1,679","-1,250","37,711","Oxford White","Black W/Medium Dark Slate","IN STOCK","19/25"
7,"2025 Ford F-150 XL Truck Regular Cab V6 EcoBoost Engine with Auto Start-Stop Technology","SKE63817","1FTMF1KP6SKE63817","40,840","-1,666","-1,250","37,924","Oxford White","Dark Slate","IN STOCK","19/25"
8,"2025 Ford F-150 XL Truck Regular Cab V6 EcoBoost Engine with Auto Start-Stop Technology","SKE63738","1FTMF1KPXSKE63738","40,840","-1,666","-1,250","37,924","Oxford White","Drk Slate Vnyl","IN STOCK","19/25"
9,"2025 Ford F-150 XL Truck SuperCab V-6 cyl","SKE40310","1FTEX1KP9SKE40310","43,755","-1,879","-1,250","40,626","Oxford White","Black W/Medium Dark Slate","IN STOCK","20/26"
10,"2025 Ford F-150 XL Truck SuperCab V-6 cyl","SKE25351","1FTEX1KP3SKE25351","45,285","-3,279","-1,250","40,756","Green","Black W/Medium Dark Slate","IN STOCK","20/26"
11,"2025 Ford F-150 XL Truck SuperCab V-6 cyl","SKE25353","1FTEX1KP7SKE25353","45,285","-3,279","-1,250","40,756","Green","Black W/Medium Dark Slate","IN STOCK","20/26"
12,"2025 Ford F-150 XL Truck SuperCab V-6 cyl","SKE25349","1FTEX1KP5SKE25349","45,285","-3,279","-1,250","40,756","Green","Black W/Medium Dark Slate","IN STOCK","20/26"
13,"2025 Ford F-150 XL Truck SuperCab V-6 cyl","SKE25352","1FTEX1KP5SKE25352","45,285","-3,279","-1,250","40,756","Green","Black W/Medium Dark Slate","IN STOCK","20/26"
14,"2025 Ford F-150 XL Truck SuperCab V-6 cyl","SKE64344","1FTEX1KP3SKE64344","43,955","-1,753","-1,250","40,952","Oxford White","Dark Slate","IN STOCK","20/26"
15,"2025 Ford F-150 XL Truck SuperCab V-6 cyl","SKE64662","1FTEX1KP6SKE64662","43,955","-1,753","-1,250","40,952","Oxford White","Drk Slate Vnyl","IN STOCK","20/26"
16,"2025 Ford F-150 XL TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEX1KPXSKE92173","43,955","N/A","N/A","N/A","Oxford White","Medium Dark Slate","N/A","19/25"
17,"2025 Ford F-150 XL TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEX1KP4SKE74056","43,955","N/A","N/A","N/A","Oxford White","Medium Dark Slate","N/A","19/25"
18,"2025 Ford F-150 XL Truck Regular Cab V6 EcoBoost Engine with Auto Start-Stop Technology","SKE75714","1FTMF1LP3SKE75714","44,660","-1,785","-1,250","41,625","Oxford White","Dark Slate","IN STOCK","18/23"
19,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE25888","1FTEW2KP1SKE25888","46,345","-1,735","-1,250","43,360","Carbonized Gray","Black","IN STOCK","20/26"
20,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE25910","1FTEW2KP1SKE25910","46,345","-1,735","N/A","44,610","White","Black","IN STOCK","20/26"
21,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE25863","1FTEW2KP7SKE25863","46,345","-1,735","-1,250","43,360","Carbonized Gray","Black","IN STOCK","20/26"
22,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE25628","1FTEW2KP8SKE25628","46,345","-1,735","-1,250","43,360","White","Black","IN STOCK","20/26"
23,"2025 Ford F-150 XL TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW1KP9SKF20791","46,540","N/A","N/A","N/A","Oxford White","Medium Dark Slate","N/A","19/25"
24,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2KP4SKE88368","46,545","N/A","N/A","N/A","Oxford White","Black","N/A","19/25"
25,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2KPXSKE88357","46,545","N/A","N/A","N/A","Agate Black Metallic","Black","N/A","19/25"
26,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2KP2SKE88384","46,545","N/A","N/A","N/A","Agate Black Metallic","Black","N/A","19/25"
27,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2KP5SKE88377","46,545","N/A","N/A","N/A","Iconic Silver Metallic","Black","N/A","19/25"
28,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2KP3SKE88376","46,545","N/A","N/A","N/A","Carbonized Gray Metallic","Black","N/A","19/25"
29,"2025 Ford F-150 XL TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW1KP3SKE93670","46,815","N/A","N/A","N/A","Oxford White","Medium Dark Slate","N/A","19/25"
30,"2025 Ford F-150 XL TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW1KP3SKE85472","46,815","N/A","N/A","N/A","Oxford White","Medium Dark Slate","N/A","19/25"
31,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE60860","1FTEW2KP0SKE60860","46,940","-1,770","-1,250","43,920","White","Black","IN STOCK","20/26"
32,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE60841","1FTEW2KP7SKE60841","46,940","-1,770","-1,250","43,920","White","Black","IN STOCK","20/26"
33,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE60846","1FTEW2KP6SKE60846","46,940","-1,770","-1,250","43,920","White","Black","IN STOCK","20/26"
34,"2025 Ford F-150 XL Truck SuperCab V-6 cyl","SKD48370","1FTEX1LP7SKD48370","47,455","-1,933","-1,250","44,272","Oxford White","Black W/Medium Dark Slate","N/A","18/24"
35,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE31257","1FTEW2LP9SKE31257","50,225","-1,909","-1,250","47,066","Oxford White","Black Stx","IN STOCK","18/24"
36,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE59242","1FTEW2LP4SKE59242","50,425","-1,909","-1,250","47,266","Oxford White","Black Stx","IN STOCK","18/24"
37,"2025 Ford F-150 XL Truck SuperCrew Cab V-6 cyl","SKD59687","1FTEW1LPXSKD59687","50,820","-2,122","-1,250","47,448","Oxford White","Black W/Medium Dark Slate","IN STOCK","18/23"
38,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2LP2SKE84091","50,820","N/A","N/A","N/A","Space White Metallic","Black","N/A","18/23"
39,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2LP3SKF00945","50,820","N/A","N/A","N/A","Space White Metallic","Black","N/A","18/23"
40,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2LP9SKE86100","53,190","N/A","N/A","N/A","Oxford White","Black","N/A","18/23"
41,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2LP4SKE86389","53,190","N/A","N/A","N/A","Oxford White","Black","N/A","18/23"
42,"2025 Ford F-150 STX TRUCK V6 EcoBoost Engine with Auto Start-Stop Technology","N/A","1FTEW2LP5SKE85655","53,190","N/A","N/A","N/A","Oxford White","Black","N/A","18/23"
43,"2025 Ford F-150 STX Truck SuperCrew Cab V-6 cyl","SKE31324","1FTEW2LP9SKE31324","54,350","-2,280","-1,250","50,820","Oxford White","Black Stx","IN STOCK","18/24"
44,"2025 Ford F-150 STX Truck SuperCrew Cab V-8 cyl","SKE60731","1FTFW2L59SKE60731","1","N/A","N/A","52,953","Carbonized Gray Metallic","Black","IN STOCK","18/24"
45,"2025 Ford F-150 XLT Truck SuperCrew Cab V-8 cyl","SKE09725","1FTEW3K58SKE09725","60,195","-3,923","-1,500","54,772","Rapid Red Metallic Tinted Clearcoat","Black/Medium Dark Slate","IN STOCK","16/24"
46,"2025 Ford F-150 XLT Truck SuperCrew Cab V-6 cyl","SFA78087","1FTFW3LD7SFA78087","61,565","-3,965","-1,500","56,100","Atlas Blue","Black W/Smoked Truffle","IN STOCK","17/22"
47,"2025 Ford F-150 XLT Truck SuperCrew Cab V-6 cyl","SFA84729","1FTFW3LD7SFA84729","62,335","-4,033","-1,500","56,802","Red Metallic","Black W/Smoked Truffle","IN STOCK","17/22"
48,"2025 Ford F-150 XLT Truck SuperCrew Cab V-6 cyl","SFB42282","1FTFW3LD8SFB42282","63,920","-4,164","-1,500","58,256","Gray","Black Sport","IN STOCK","17/22"
49,"2025 Ford F-150 XLT Truck SuperCrew Cab V-6 cyl","SFB16725","1FTFW3LD7SFB16725","64,030","-4,174","-1,500","58,356","Carbonized Gray Metallic","Black","IN STOCK","17/22"
50,"2025 Ford F-150 XLT Truck SuperCrew Cab V-6 cyl","SFB16738","1FTFW3LD5SFB16738","64,030","-4,174","-1,500","58,356","Gray","Black Sport","IN STOCK","17/22"
51,"2025 Ford F-150 XLT Truck SuperCrew Cab V-6 cyl","SFB16722","1FTFW3LD1SFB16722","64,030","-4,174","-1,500","58,356","White","Black Sport","IN STOCK","17/22"
52,"2025 Ford F-150 XLT Truck SuperCrew Cab V-6 cyl","SFB16665","1FTFW3LD4SFB16665","64,030","-4,174","-1,500","58,356","Gray","Blk Sport","IN STOCK","17/22"
53,"2025 Ford F-150 XLT Truck SuperCrew Cab V-6 cyl","SFB16740","1FTFW3LD3SFB16740","64,030","-4,174","-1,500","58,356","White","Blk Sport","N/A","17/22"
