VIN,Year,Make,Model,Trim,Exterior Color,Interior Color,Odometer,MSRP,Stock Number,Fuel Economy
1FTEW1KP9SKF10990,2025,Ford,F-150,XL,Oxford White,Dark Slate,0,"$46,540",SKF10990,20/26
1FTMF1KP0SKD70128,2025,Ford,F-150,XL,Oxford White,Black W/Medium Dark Slate,0,"$40,540",SKD70128,20/26
1FTMF1KP8SKD94788,2025,Ford,F-150,XL,Oxford White,Black W/Medium Dark Slate,0,"$40,640",SKD94788,20/26
1FTMF1KP6SKE63817,2025,Ford,F-150,XL,Oxford White,Dark Slate,0,"$40,840",SKE63817,20/26
1FTMF1KPXSKE63738,2025,Ford,F-150,XL,Oxford White,Drk Slate Vnyl,0,"$40,840",SKE63738,20/26
1FTMF1KP3SKE92143,2025,Ford,F-150,XL,Oxford White,Medium Dark Slate,0,"$40,840",,19/25
1FTEX1KP3SKE25351,2025,Ford,F-150,XL,Green,Black W/Medium Dark Slate,0,"$45,285",SKE25351,20/26
1FTEX1KP5SKE25349,2025,Ford,F-150,XL,Green,Black W/Medium Dark Slate,0,"$45,285",SKE25349,20/26
1FTEX1KP5SKE25352,2025,Ford,F-150,XL,Green,Black W/Medium Dark Slate,0,"$45,285",SKE25352,20/26
1FTEX1KP3SKE64344,2025,Ford,F-150,XL,Oxford White,Dark Slate,0,"$43,955",SKE64344,20/26
1FTEX1KPXSKE92173,2025,Ford,F-150,XL,Oxford White,Dark Slate,0,"$43,955",SKE92173,20/26
1FTEX1KP4SKE74056,2025,Ford,F-150,XL,Oxford White,Dark Slate,0,"$43,955",SKE74056,20/26
1FTEX1KP6SKF01094,2025,Ford,F-150,XL,Oxford White,Medium Dark Slate,0,"$44,355",,19/25
1FTMF1LP3SKE75714,2025,Ford,F-150,XL,Oxford White,Dark Slate,0,"$44,660",SKE75714,18/24
1FTEW2KP1SKE25888,2025,Ford,F-150,STX,Carbonized Gray,Black,0,"$46,345",SKE25888,20/26
1FTEW2KP1SKE25910,2025,Ford,F-150,STX,White Metallic,Black,0,"$46,345",SKE25910,20/26
1FTEW2KP7SKE25863,2025,Ford,F-150,STX,Carbonized Gray,Black,0,"$46,345",SKE25863,20/26
1FTEW1KP9SKF20791,2025,Ford,F-150,XL,Oxford White,Dark Slate,0,"$46,540",SKF20791,20/26
1FTEW1KP5SKE99387,2025,Ford,F-150,XL,Oxford White,Dark Slate,0,"$46,540",SKE99387,20/26
1FTEW2KP4SKE88368,2025,Ford,F-150,STX,Oxford White,Black,0,"$46,545",SKE88368,20/26
1FTEW2KPXSKE88357,2025,Ford,F-150,STX,Agate Black,Black,0,"$46,545",SKE88357,20/26
1FTEW2KP5SKE88377,2025,Ford,F-150,STX,Iconic Silver,Black,0,"$46,545",SKE88377,20/26
1FTEW2KP1SKF14571,2025,Ford,F-150,STX,Oxford White,Black,0,"$46,545",SKF14571,20/26
1FTEW1KP3SKE93670,2025,Ford,F-150,XL,Oxford White,Dark Slate,0,"$46,815",SKE93670,20/26
1FTEW1KP3SKE85472,2025,Ford,F-150,XL,Oxford White,Medium Dark Slate,0,"$46,815",SKE85472,20/26
1FTEW2KP4SKF14578,2025,Ford,F-150,STX,Agate Black Metallic,Black,0,"$46,545",,19/25
1FTEW2KP7SKE60841,2025,Ford,F-150,STX,White,Black,0,"$46,940",SKE60841,20/26
1FTEW2KP6SKE60846,2025,Ford,F-150,STX,White,Black,0,"$46,940",SKE60846,20/26
1FTEX1LP7SKD48370,2025,Ford,F-150,XL,Oxford White,Black W/Medium Dark Slate,0,"$47,455",SKD48370,18/24
1FTEW1KP9SKE92118,2025,Ford,F-150,XL,Oxford White,Black,0,"$47,485",SKE92118,20/26
1FTEW1KP3SKF10516,2025,Ford,F-150,XL,Oxford White,Medium Dark Slate,0,"$47,485",,19/25
1FTEW1KP7SKF01852,2025,Ford,F-150,XL,Oxford White,Medium Dark Slate,0,"$47,485",,19/25
1FTEX1LP1SKF44725,2025,Ford,F-150,XL,Oxford White,Medium Dark Slate,0,"$48,155",,18/23
1FTEX1LP2SKF45799,2025,Ford,F-150,XL,Oxford White,Medium Dark Slate,0,"$48,155",,18/23
1FTEW1LPXSKD59687,2025,Ford,F-150,XL,Oxford White,Black W/Medium Dark Slate,0,"$50,820",SKD59687,18/24
1FTEW2LPXSKF27902,2025,Ford,F-150,STX,Iconic Silver Metallic,Black,0,"$50,425",,18/23
1FTEW2LPXSFB20364,2025,Ford,F-150,STX,Gray Metallic,Black,0,"$52,230",SFB20364,18/24
1FTEW2LP5SKE85655,2025,Ford,F-150,STX,Oxford White,Black Stx,0,"$53,190",SKE85655,18/24
1FTEW2LP5SKF28052,2025,Ford,F-150,STX,Oxford White,Black,0,"$54,140",,18/23
1FTEW2LP2SFC00919,2025,Ford,F-150,STX,Marsh Gray,Black,0,"$54,535",,18/23
1FTEW2LPXSKF23624,2025,Ford,F-150,STX,Carbonized Gray Metallic,Black,0,"$55,000",,18/23
1FTFW2L59SKE60731,2025,Ford,F-150,STX,Carbonized Gray Metallic,Black,0,"$55,300",SKE60731,18/24
1FTEW2LP1SKF15458,2025,Ford,F-150,STX,Space White Metallic,Black,0,"$55,395",SKF15458,18/24
1FTEW2LP7SKF17635,2025,Ford,F-150,STX,Rapid Red Metallic Tinted Clearcoat,Black,0,"$55,495",,18/23
1FTEW3K58SKE09725,2025,Ford,F-150,XLT,Rapid Red Metallic Tinted Clearcoat,Black/Medium Dark Slate,0,"$60,195",SKE09725,20/26
1FTFW3LD7SFA78087,2025,Ford,F-150,XLT,Blue Metallic,Black W/Smoked Truffle,0,"$61,565",SFA78087,
1FTFW3LD7SFA84729,2025,Ford,F-150,XLT,Red Metallic,Black W/Smoked Truffle,0,"$62,335",SFA84729,
1FTFW3LD8SFB42282,2025,Ford,F-150,XLT,Gray Metallic,Black,0,"$63,920",SFB42282,
1FTFW3LD7SFB16725,2025,Ford,F-150,XLT,Gray Metallic,Black,0,"$64,030",SFB16725,
1FTFW3LD5SFB16738,2025,Ford,F-150,XLT,Gray Metallic,Black,0,"$64,030",SFB16738,
1FTFW3LD1SFB16722,2025,Ford,F-150,XLT,White Metallic,Black,0,"$64,030",SFB16722,
