year,make,model,trim,vin,internetPrice,msrp,mileage,extColor,intColor,bodyStyle
2025,Ford,F-150,XL,1FTMF1KP0SKD70128,,,,,,Truck Regular Cab
2025,Ford,F-150,XL,1FTMF1KP8SKD94788,,,,,,Truck Regular Cab
2025,Ford,F-150,XL,1FTMF1KP6SKE63817,,,,,,Truck Regular Cab
2025,Ford,F-150,XL,1FTMF1KPXSKE63738,,,,,,Truck Regular Cab
2025,Ford,F-150,XL,1FTMF1KP3SKE92143,,,,,,TRUCK
2025,Ford,F-150,XL,1FTEX1KP9SKE40310,,,,,,Truck SuperCab
2025,Ford,F-150,XL,1FTEX1KP3SKE25351,,,,,,Truck SuperCab
2025,Ford,F-150,XL,1FTEX1KP7SKE25353,,,,,,Truck SuperCab
2025,Ford,F-150,XL,1FTEX1KP5SKE25349,,,,,,Truck SuperCab
2025,Ford,F-150,XL,1FTEX1KP5SKE25352,,,,,,Truck SuperCab
2025,Ford,F-150,XL,1FTEX1KP3SKE64344,,,,,,Truck SuperCab
2025,Ford,F-150,XL,1FTEX1KP6SKE64662,,,,,,Truck SuperCab
2025,Ford,F-150,XL,1FTEX1KPXSKE92173,,,,,,Truck SuperCab
2025,Ford,F-150,XL,1FTEX1KP4SKE74056,,,,,,TRUCK
2025,Ford,F-150,XL,1FTMF1LP3SKE75714,,,,,,Truck Regular Cab
2025,Ford,F-150,STX,1FTEW2KP1SKE25888,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2KP1SKE25910,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2KP7SKE25863,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2KPXSKE88357,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2KP2SKE88384,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2KP5SKE88377,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2KP3SKE88376,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XL,1FTEW1KP9SKF20791,,,,,,TRUCK
2025,Ford,F-150,XL,1FTEW1KP9SKF10990,,,,,,TRUCK
2025,Ford,F-150,XL,1FTEW1KP5SKE99387,,,,,,TRUCK
2025,Ford,F-150,STX,1FTEW2KP4SKE88368,,,,,,TRUCK
2025,Ford,F-150,XL,1FTEW1KP3SKE93670,,,,,,TRUCK
2025,Ford,F-150,XL,1FTEW1KP3SKE85472,,,,,,TRUCK
2025,Ford,F-150,STX,1FTEW2KP0SKE60860,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2KP7SKE60841,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2KP6SKE60846,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XL,1FTEX1LP7SKD48370,,,,,,Truck SuperCab
2025,Ford,F-150,XL,1FTEW1KP9SKE92118,,,,,,TRUCK
2025,Ford,F-150,XL,1FTEW1KP3SKF10516,,,,,,TRUCK
2025,Ford,F-150,XL,1FTEW1KP7SKF01852,,,,,,TRUCK
2025,Ford,F-150,STX,1FTEW2LP9SKE31257,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2LP4SKE59242,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XL,1FTEW1LPXSKD59687,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2LP2SKE84091,,,,,,TRUCK
2025,Ford,F-150,STX,1FTEW2LP3SKF00945,,,,,,TRUCK
2025,Ford,F-150,STX,1FTEW2LP4SKE86389,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2LP5SKE85655,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2LP5SKF28052,,,,,,TRUCK
2025,Ford,F-150,STX,1FTFW2L59SKE60731,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,STX,1FTEW2LP1SKF15458,,,,,,TRUCK
2025,Ford,F-150,STX,1FTEW2LP7SKF17635,,,,,,TRUCK
2025,Ford,F-150,XLT,1FTEW3K58SKE09725,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD7SFA78087,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD7SFA84729,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD8SFB42282,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD7SFB16725,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD5SFB16738,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD1SFB16722,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD4SFB16665,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD3SFB16740,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3L53SKE92340,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD8SFB58577,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD6SFB45424,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LDXSFB45412,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LDXSFB45443,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD8SFB67389,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD2SFB67386,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD4SFB67373,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD5SFB67382,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD6SFB67360,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD6SFB91836,,,,,,TRUCK
2025,Ford,F-150,XLT,1FTFW3LD5SFB91830,,,,,,TRUCK
2025,Ford,F-150,XLT,1FTFW3LD2SFB45453,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD3SFB45431,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD4SFB45437,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3LD5SFB70086,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,XLT,1FTFW3L8XSKE65937,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Tremor,1FTFW4L56SFB71147,,,,,,TRUCK
2025,Ford,F-150,Tremor,1FTFW4L57SFB22250,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Tremor,1FTFW4L53SFB65435,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Tremor,1FTFW4L52SFB63806,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Tremor,1FTFW4L58SFB64894,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Tremor,1FTFW4L55SFB70720,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Tremor,1FTFW4L55SFB76761,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Lariat,1FTFW5L8XSKD35281,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Lariat,1FTFW5LD4SFB86162,,,,,,TRUCK
2025,Ford,F-150,Lariat,1FTFW5LD4SFB87781,,,,,,TRUCK
2025,Ford,F-150,Lariat,1FTFW5L82SFB53065,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Lariat,1FTFW5LD1SFB32527,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Lariat,1FTFW5LD2SFC00866,,,,,,TRUCK
2025,Ford,F-150,Lariat,1FTFW5LD3SFC00956,,,,,,TRUCK
2025,Ford,F-150,Lariat,1FTFW5LD2SFB42094,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Lariat,1FTFW5LD1SFB44239,,,,,,Truck SuperCrew Cab
2025,Ford,F-150,Platinum,1FTFW7LD5SFB88014,,,,,,TRUCK
2025,Ford,F-150,Platinum,1FTFW7LD6SFB87793,,,,,,TRUCK
2025,Ford,F-150,Platinum,1FTFW7LD3SFB88402,,,,,,TRUCK
2023,Ford,F-250,XL,1FTBF2AA8PED32520,,,,,,Truck Regular Cab
2023,Ford,F-250,XL,1FTBF2AA9PEC61439,,,,,,Truck Regular Cab
2024,Ford,F-250,XL,1FTBF2AA1REF89330,,,,,,Truck Regular Cab
