VIN,Stock Number,Price,Year,Make,Model,Trim,Driveline,Body,Wheelbase,Engine,Transmission,Exterior Color,Interior Color,Seating,Equipment Group
1FTMF1KP0SKF48233,,"$40,045",2025,Ford,F-150,XL,4X2,REGULAR CAB EXTERIOR,"141""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,101A
1FTMF1KP0SKD70128,SKD70128,"$40,540",2025,Ford,F-150,XL,4X2,REGULAR CAB EXTERIOR,"141""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,103A
1FTMF1KP8SKD94788,SKD94788,"$40,640",2025,Ford,F-150,XL,4X2,REGULAR CAB EXTERIOR,"141""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,103A
1FTMF1KP6SKE63817,SKE63817,"$40,840",2025,Ford,F-150,XL,4X2,REGULAR CAB EXTERIOR,"141""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,103A
1FTMF1KPXSKE63738,SKE63738,"$40,840",2025,Ford,F-150,XL,4X2,REGULAR CAB EXTERIOR,"141""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,103A
1FTMF1KP3SKE92143,SKE92143,"$40,840",2025,Ford,F-150,XL,4X2,REGULAR CAB EXTERIOR,"141""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,103A
1FTEX1KP3SKE25351,SKE25351,"$45,285",2025,Ford,F-150,XL,4X2,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,GREEN,DARK SLATE VINYL,40/20/40,101A
1FTEX1KP5SKE25349,SKE25349,"$45,285",2025,Ford,F-150,XL,4X2,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,GREEN,DARK SLATE VINYL,40/20/40,101A
1FTEX1KP5SKE25352,SKE25352,"$45,285",2025,Ford,F-150,XL,4X2,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,GREEN,DARK SLATE VINYL,40/20/40,101A
1FTEX1KP3SKE64344,SKE64344,"$43,955",2025,Ford,F-150,XL,4X2,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,101A
1FTEX1KPXSKE92173,SKE92173,"$43,955",2025,Ford,F-150,XL,4X2,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,101A
1FTEX1KP4SKE74056,SKE74056,"$43,955",2025,Ford,F-150,XL,4X2,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,101A
1FTEX1KP6SKF01094,SKF01094,"$44,355",2025,Ford,F-150,XL,4X2,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,101A
1FTEW2KP1SKE25888,SKE25888,"$46,345",2025,Ford,F-150,STX,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,CARBONIZED GRAY METALLIC,BLACK  CLOTH,40/console/40,200B
1FTEW2KP1SKE25910,SKE25910,"$46,345",2025,Ford,F-150,STX,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,SPACE WHITE METALLIC,BLACK  CLOTH,40/console/40,200B
1FTEW2KP7SKE25863,SKE25863,"$46,345",2025,Ford,F-150,STX,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,CARBONIZED GRAY METALLIC,BLACK  CLOTH,40/console/40,200B
1FTEW1KP5SKE99387,SKE99387,"$46,540",2025,Ford,F-150,XL,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,101A
1FTEW2KP4SKE88368,SKE88368,"$46,545",2025,Ford,F-150,STX,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,BLACK  CLOTH,40/console/40,200B
1FTEW2KPXSKE88357,SKE88357,"$46,545",2025,Ford,F-150,STX,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,AGATE BLACK METALLIC,BLACK  CLOTH,40/console/40,200B
1FTEW2KP5SKE88377,SKE88377,"$46,545",2025,Ford,F-150,STX,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,ICONIC SILVER METALLIC,BLACK  CLOTH,40/console/40,200B
1FTEW2KP7SKE60841,SKE60841,"$46,940",2025,Ford,F-150,STX,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,SPACE WHITE METALLIC,BLACK  CLOTH,40/console/40,200B
1FTEW2KP6SKE60846,SKE60846,"$46,940",2025,Ford,F-150,STX,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,SPACE WHITE METALLIC,BLACK  CLOTH,40/console/40,200B
1FTEW1KP9SKE92118,SKE92118,"$47,485",2025,Ford,F-150,XL,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE CLOTH,40/20/40,103A
1FTEW1KP3SKF10516,SKF10516,"$47,485",2025,Ford,F-150,XL,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE CLOTH,40/20/40,103A
