VIN,Stock Number,Price,Year,Make,Model,Trim,Driveline,Body,Wheelbase,Engine,Transmission,Exterior Color,Interior Color,Seating,Equipment Group
3FMTK2R75NMA20022,NMA20022,$0,2022,Ford,CALIFORNIA,California Route 1,ROUTE,1 RWD,5-PASSENGER,91KWH USABLE EXT BATTERY,SINGLE-SPEED TRANSMISSION,ICED BLUE METALLIC,BLK ONYX ACTIVEX SEAT MTRL,,200A
2FMPK3J8XJBB26618,JBB26618T,"$15,991",,Ford,,SEL,,,(cid:7)(cid:6)(cid:12)(cid:21)(cid:10)(cid:10)(cid:13) !(cid:13)(cid:14),(cid:22)(cid:23)(cid:7)(cid:19)(cid:28)(cid:27)(cid:6)(cid:24)(cid:15)(cid:28)(cid:24)(cid:25)(cid:13) !(cid:27) (cid:13),(cid:25)(cid:6)(cid:10)(cid:12)(cid:26)(cid:21)(cid:11)(cid:28)(cid:29)(cid:28)(cid:14)(cid:21) (cid:10)(cid:16)(cid:30)(cid:10)(cid:19)(cid:15)(cid:28)(cid:10)(cid:18)(cid:5)(cid:28),(cid:16)(cid:18)(cid:27)(cid:28)(cid:13)(cid:12)(cid:19)(cid:21)(cid:28)(cid:27) (cid:11)(cid:31)(cid:31)(cid:13)(cid:28)(cid:28)(cid:14)(cid:27)(cid:6)(cid:15)(cid:29)(cid:21)(cid:28),(cid:26)(cid:11) (cid:13)(cid:19)(cid:13)(cid:21)(cid:28)(cid:18)(cid:13)(cid:14)(cid:6)(cid:28)(cid:14)(cid:27)(cid:31)(cid:31)(cid:13)(cid:26)(cid:10)(cid:13)(cid:21)(cid:28)(cid:10),,
1FTER1EH6MLD04437,MLD04437,"$17,692",2021,Ford,SUPERCAB,XL,4X2,- 6' BOX,"XL 126""",2.3L ECOBOOST ENGINE,ELEC 10-SPEED AUTO TRANS,OXFORD WHITE,EBONY VINYL SEATS,,101A
3FMTK1RM3MMA28568,MMA28568,"$18,994",,Ford,,Select,,,5-PASSENGER,68KWH USABLE STD BATTERY,SINGLE-SPEED TRANSMISSION,CARBONIZED GRAY METALLIC,BLK ONYX ACTIVEX SEAT MTRL,,100A
1FMCU0GN2PUB05527,PUB05527T,"$20,991",,Ford,,Active,,,"106.7""",1.5L ECOBOOST W/START-STOP,8-SPD AUTO TRANSMISSION,CARBONIZED GRAY METALLIC,EBONY UNIQUE CLOTH SEATS,,200A
3FMCR9C63MRA91693,MRA91693,"$21,494",2021,Ford,OUTER,Outer Banks,BANKS,4X4,5-PASSENGER,1.5L ECOBOOST ENGINE,8-SPD AUTO TRANSMISSION,ICONIC SILVER METALLIC,EBONY ROAST LEA-TRIM,,300A
3FMCR9B61MRA49086,MRA49086,"$21,592",2021,Ford,BIG,Big Bend,BEND,4X4,5-PASSENGER,1.5L ECOBOOST ENGINE,8-SPD AUTO TRANSMISSION,OXFORD WHITE,EBONY BLACK UNIQUE CLOTH,,200A
1FMSK8DH4LGA54894,LGA54894,"$21,691",2020,Ford,EXPLORER,XLT,XLT,4WD,"119""",2.3L I4 ECOBOOST ENGINE,10-SPEED AUTO TRANSMISSION,BLUE METALLIC,SANDSTONE ACTIVEX SEAT MTRL,,202A
1FMCU0GN0PUA14949,PUA14949,"$21,991",,Ford,,Active,,,"106.7""",1.5L ECOBOOST W/START-STOP,8-SPD AUTO TRANSMISSION,AGATE BLACK METALLIC,EBONY UNIQUE CLOTH SEATS,,200A
1FMCU0GN8SUA14853,250025DL,"$22,994",,Ford,,Active,,,"106.7""",1.5L ECOBOOST W/START-STOP,8-SPD AUTO TRANSMISSION,SPACE SILVER METALLIC,EBONY UNIQUE CLOTH SEATS,,200A
